#LangName	English	Polski
Start Game	Start Game	Rozpocznij Grę
Language	Language	Język
Options	Options	Opcje
Credits	Credits	O Autorach
Exit	Exit	Wyjście
Sound Volume	Sound Volume	Poziom Dźwięku
Music Volume	Music Volume	Poziom Muzyki
Camera Shake	Camera Shake	Wstrząsy Kamery
Auto-Reload	Auto-Reload	Auto-Przeładowanie
Controls	Controls	Sterowanie
Back	Back	Powrót
Yes	Yes	Tak
No	No	Nie
Continue Game	Continue Game	Kontynuuj Grę
New Game	New Game	Nowa Gra
Resume	Resume	Wznów
Quit To Main Menu	Quit To Main Menu	Wyjdź do Menu Głównego
Paused	Paused	Wstrzymano
Off	Off	Wył.